Key,CommodityType,Day,Intensity
ABN,GEN-RESUPPLY,55,4
ABN,GEN-RESUPPLY,75,4
ABN,GEN-AMMO,55,4
ABN,GEN-AMMO,75,4
ABN,GEN-POL,55,1
BIR EL ATER,GEN-RESUPPLY,55,4
BIR EL ATER,GEN-RESUPPLY,75,4
BIR EL ATER,GEN-AMMO,55,4
BIR EL ATER,GEN-AMMO,75,4
BIR EL ATER,GEN-POL,55,1
GABES,GEN-RESUPPLY,55,4
GABES,GEN-RESUPPLY,75,4
GABES,GEN-AMMO,55,4
GABES,GEN-AMMO,75,4
GABES,GEN-POL,55,1
GABES (HNTM),GEN-RESUPPLY,55,4
GABES (HNTM),GEN-RESUPPLY,75,4
GABES (HNTM),GEN-AMMO,55,4
GABES (HNTM),GEN-AMMO,75,4
GABES (HNTM),GEN-POL,55,1
GABES (HNTS),GEN-RESUPPLY,55,4
GABES (HNTS),GEN-RESUPPLY,75,4
GABES (HNTS),GEN-AMMO,55,4
GABES (HNTS),GEN-AMMO,75,4
GABES (HNTS),GEN-POL,55,1
GAFSA,GEN-RESUPPLY,55,4
GAFSA,GEN-RESUPPLY,75,4
GAFSA,GEN-AMMO,55,4
GAFSA,GEN-AMMO,75,4
GAFSA,GEN-POL,55,1
JERBA-ZARZIS,GEN-RESUPPLY,55,4
JERBA-ZARZIS,GEN-RESUPPLY,75,4
JERBA-ZARZIS,GEN-AMMO,55,4
JERBA-ZARZIS,GEN-AMMO,75,4
JERBA-ZARZIS,GEN-POL,55,1
MADANIYIN,GEN-RESUPPLY,55,4
MADANIYIN,GEN-RESUPPLY,75,4
MADANIYIN,GEN-AMMO,55,4
MADANIYIN,GEN-AMMO,75,4
MADANIYIN,GEN-POL,55,1
SEABASE,GEN-RESUPPLY,55,4
SEABASE,GEN-RESUPPLY,75,4
SEABASE,GEN-AMMO,55,4
SEABASE,GEN-AMMO,75,4
SEABASE,GEN-POL,55,1
SFAX,GEN-RESUPPLY,55,4
SFAX,GEN-RESUPPLY,75,4
SFAX,GEN-AMMO,55,4
SFAX,GEN-AMMO,75,4
SFAX,GEN-POL,55,1
SIGONELLA,GEN-RESUPPLY,55,4
SIGONELLA,GEN-RESUPPLY,75,4
SIGONELLA,GEN-AMMO,55,4
SIGONELLA,GEN-AMMO,75,4
SIGONELLA,GEN-POL,55,1
TEBESSA,GEN-RESUPPLY,55,4
TEBESSA,GEN-RESUPPLY,75,4
TEBESSA,GEN-AMMO,55,4
TEBESSA,GEN-AMMO,75,4
TEBESSA,GEN-POL,55,1
THYNA-EL MAOU,GEN-RESUPPLY,55,4
THYNA-EL MAOU,GEN-RESUPPLY,75,4
THYNA-EL MAOU,GEN-AMMO,55,4
THYNA-EL MAOU,GEN-AMMO,75,4
THYNA-EL MAOU,GEN-POL,55,1
