Model,FedTime,NumShipsOnBerth,NumShipsWaitingToBerth,Longitude,Latitude,Geoloc,Name,Capability
MAIN,-2,0,0,-81.43333435058594,30.399999618530273,PPSH,MAYPORT NAVAL ST,1
MAIN,-2,0,0,-80.18333435058594,25.78333282470703,QCFF,MIAMI,1
MAIN,-2,0,0,55.04999923706055,24.983333587646484,QHPB,JEBEL ALI,1
MAIN,-2,0,0,56.04999923706055,25.96666717529297,QHPD,MINA SAQR,1
MAIN,-2,0,0,54.36666488647461,24.516666412353516,QHPF,MINA ZAYED,1
MAIN,-2,0,0,126.38333129882812,34.78333282470703,QNPW,MOKPO,1
MAIN,-2,0,0,-76.67583465576172,34.65277862548828,QTUP,MOREHEAD CITY,1
MAIN,-2,0,0,58.63333511352539,23.616666793823242,RCYQ,MUSCAT,1
MAIN,-2,0,0,58.599998474121094,23.616666793823242,RCYT,MUSCAT,1
MAIN,-2,0,0,136.86666870117188,35.04999923706055,RELG,NAGOYA,1
MAIN,-2,0,0,127.67166900634766,26.205278396606445,REPV,NAHA,1
MAIN,-2,0,0,14.266666412353516,40.83333206176758,RGJW,NAPLES,1
MAIN,-2,0,0,-90.01667022705078,29.950000762939453,RQNK,NEW ORLEANS,1
MAIN,-2,0,0,-74.03333282470703,40.71666717529297,RRHU,NEW YORK,1
MAIN,-2,0,0,-73.96666717529297,40.66666793823242,RRRK,NEW YORK PORT EMB,1
MAIN,-2,0,0,-71.33333587646484,41.5,RUAM,NEWPORT,1
MAIN,-2,0,0,-71.33333587646484,41.5,RUAQ,NEWPORT T2,1
MAIN,-2,0,0,-76.4000015258789,37.0,RULV,NEWPORT NEWS,1
MAIN,-2,0,0,-76.32749938964844,36.90999984741211,SBEA,NORFOLK,1
MAIN,-2,0,0,-76.28333282470703,36.93333435058594,SBEQ,NORFOLK T2,1
MAIN,-2,0,0,-122.33333587646484,37.81666564941406,SERU,OAKLAND SEALAND T,1
MAIN,-2,0,0,135.42889404296875,34.647499084472656,SMXS,OSAKA,1
MAIN,-2,0,0,13.368888854980469,38.1261100769043,STRM,PALERMO,1
MAIN,-2,0,0,-79.53333282470703,8.949999809265137,SVCN,PANAMA CITY,1
MAIN,-2,0,0,-157.96665954589844,21.33333396911621,SYZZ,PEARL HARBOR NAD,1
MAIN,-2,0,0,23.633333206176758,37.93333435058594,TGWS,PARAIEVS,1
MAIN,-2,0,0,129.36666870117188,36.04999923706055,TKDW,POHANG,1
MAIN,-2,0,0,-80.11666870117188,26.100000381469727,TNVX,PORT EVERGLADES,1
MAIN,-2,0,0,-119.19999694824219,34.150001525878906,TNZY,PORT HUENEME NCBC,1
MAIN,-2,0,0,32.29999923706055,31.25,TPPR,PORT SAID,1
MAIN,-2,0,0,101.3499984741211,3.0166666507720947,TPRW,PORT KELANG,1
MAIN,-2,0,0,-122.5999984741211,45.58333206176758,TQKG,PORTLAND,1
MAIN,-2,0,0,-27.049999237060547,38.71666717529297,TRZP,PRAIA DE VITORIA,1
MAIN,-2,0,0,129.0822296142578,35.08333206176758,TVJD,PUSAN MILITARY TE,1
MAIN,-2,0,0,58.54999923706055,23.616666793823242,TVXA,MINA QABOOS,1
MAIN,-2,0,0,48.63333511352539,28.100000381469727,TZL4,RAS AL MISHAB,1
MAIN,-2,0,0,54.0,16.933332443237305,TZYR,SALALAH MINA RAYS,1
MAIN,-2,0,0,-6.3491668701171875,36.64638900756836,UMXA,ROTA,1
MAIN,-2,0,0,4.449999809265137,51.88333511352539,UNAP,ROTTERDAM,1
MAIN,-2,0,0,-117.16666412353516,32.75,UTAC,SAN DIEGO,1
MAIN,-2,0,0,-67.1500015258789,18.516666412353516,UTVT,SAN JUAN,1
MAIN,-2,0,0,-59.63333511352539,-33.68333435058594,UULA,SAN PEDRO,1
MAIN,-2,0,0,-6.616666793823242,4.733333110809326,UULB,SAN PEDRO,1
MAIN,-2,0,0,-118.25,33.75,UULX,SAN PEDRO,1
MAIN,-2,0,0,129.71665954589844,33.16666793823242,UYQR,SASEBO,1
MAIN,-2,0,0,-81.11666870117188,32.08333206176758,UZXJ,SAVANNAH,1
MAIN,-2,0,0,-122.33333587646484,47.599998474121094,VFVN,SEATTLE,1
MAIN,-2,0,0,10.766666412353516,34.733333587646484,VKNP,SFAX,1
MAIN,-2,0,0,138.49945068359375,35.00416564941406,VPRF,SHIMIZU,1
MAIN,-2,0,0,103.91666412353516,1.350000023841858,VSNF,SINGAPORE,1
MAIN,-2,0,0,-77.93333435058594,33.983333587646484,WMPT,SOUTHPORT MILITAR,1
MAIN,-2,0,0,151.1999969482422,-33.96666717529297,WPAU,SYDNEY,1
MAIN,-2,0,0,-122.5,47.266666412353516,WPVT,TACOMA,1
MAIN,-2,0,0,-1.75,4.883333206176758,WQZM,TAKORADI,1
MAIN,-2,0,0,0.01666666753590107,5.633333206176758,WTJG,TEMA,1
MAIN,-2,0,0,139.75,35.66666793823242,WYKZ,TOKYO,1
MAIN,-2,0,0,13.766666412353516,45.650001525878906,XEXW,TRIESTE,1
MAIN,-2,0,0,-0.3166666626930237,39.45000076293945,XRVJ,VALENCIA,1
MAIN,-2,0,0,-122.68333435058594,45.63333511352539,XUDT,VANCOUVER,1
MAIN,-2,0,0,12.333333015441895,45.43333435058594,XVMN,VENICE,1
MAIN,-2,0,0,-96.13333129882812,19.200000762939453,XVRV,VERACRUZ,1
MAIN,-2,0,0,15.633333206176758,38.21666717529297,XYNK,VILLA SAN GIOVANN,1
MAIN,-2,0,0,174.85000610351562,-41.36666488647461,YRTK,WELLINGTON,1
MAIN,-2,0,0,-77.94999694824219,34.233333587646484,ZBES,WILMINGTON,1
MAIN,-2,0,0,114.26667022705078,22.600000381469727,ZMJJ,YANTIAN PORT FAC,1
MAIN,-2,0,0,139.64999389648438,35.45000076293945,ZNMC,YOKOHAMA COMMERCI,1
MAIN,-2,0,0,121.0999984741211,30.58333396911621,ZSJC,ZHAPU,1
